essayid,score
1623,4
1143,3
660,3
1596,3
846,4
868,4
145,3
500,4
652,3
214,3
1229,3
1588,3
1435,4
115,3
309,3
70,4
1068,4
42,5
47,4
100,3
165,4
479,3
977,4
1292,4
764,4
31,4
25,4
1438,4
1216,4
712,3
368,2
1180,4
1514,3
1172,3
1139,4
835,3
790,4
893,4
579,4
1517,3
1749,3
402,4
1570,3
1049,3
925,2
1140,3
138,3
671,3
541,3
889,4
845,3
1217,4
1148,4
197,4
1087,4
612,4
757,3
1508,4
720,4
1685,3
665,3
738,3
994,3
1235,4
576,4
373,3
851,4
1323,4
1648,4
810,4
569,3
89,4
1552,3
352,3
472,3
1647,3
740,3
844,3
1116,4
921,4
330,4
658,4
185,3
1313,3
849,4
18,2
662,4
331,4
279,1
124,4
182,3
811,3
396,3
708,3
523,4
36,4
956,3
785,4
528,4
311,3
876,3
1198,5
721,2
1400,3
72,3
486,4
1056,3
906,3
1048,4
152,4
228,4
1371,4
37,3
1754,4
1769,4
186,3
1332,3
928,4
1446,2
532,3
980,3
91,4
1224,4
506,3
1357,2
1374,4
1078,3
983,4
759,4
1650,2
635,4
816,4
1488,2
1600,3
1268,4
1285,4
1424,3
156,4
1582,2
886,4
1105,4
258,4
1748,4
1007,3
1617,3
916,4
1271,4
1124,3
631,4
345,4
617,4
245,3
1767,4
584,4
1525,4
972,3
457,3
1561,3
475,4
1367,4
420,4
1069,3
1739,2
376,3
975,4
531,4
1658,3
367,3
678,2
1242,4
262,3
670,4
1064,3
1350,4
198,4
137,4
866,4
1300,4
774,3
1159,4
1125,4
1361,3
507,4
762,4
277,3
389,4
1346,3
874,4
48,3
1675,3
647,3
1720,4
1590,4
1152,3
1226,4
862,4
1562,4
1336,3
1171,3
